iter	Logloss
312	0.2511756891
313	0.2508961651
314	0.2507742945
315	0.2507152433
316	0.2502184345
317	0.2501823258
318	0.2501449779
319	0.2498379489
320	0.2493887918
321	0.2490521721
322	0.248736588
323	0.2485798426
324	0.2481533826
325	0.248128785
326	0.2477406667
327	0.2474046329
328	0.2472521326
329	0.2472178524
330	0.2468306211
331	0.2463085768
332	0.2459354794
333	0.245802817
334	0.2455585614
335	0.245502648
336	0.2453210518
337	0.2449150279
338	0.2444448303
339	0.2444072746
340	0.2443362294
341	0.2438308401
342	0.2434226216
343	0.2430324093
344	0.2426030341
345	0.2423058707
346	0.241858484
347	0.2418271151
348	0.2417768922
349	0.2414120751
350	0.2410905495
351	0.2408553969
352	0.2405743977
353	0.2401974016
354	0.2401783523
355	0.2400636926
356	0.2396180792
357	0.2395630598
358	0.2395290052
359	0.2392009963
360	0.239050488
361	0.2387677394
362	0.238366762
363	0.2381865057
364	0.2379611504
365	0.2376635477
366	0.2376333566
367	0.2374139958
368	0.2369987505
369	0.2365379997
370	0.2365210838
371	0.2362377815
372	0.2359841957
373	0.2358169681
374	0.235585173
375	0.2355510245
376	0.2353673067
377	0.2352089278
378	0.2348266267
379	0.2345185872
380	0.2342796088
381	0.2338534196
382	0.2334981604
383	0.2332568698
384	0.2329189437
385	0.2328781015
386	0.2325612928
387	0.2322815026
388	0.2322525983
389	0.2319830301
390	0.2319556297
391	0.2316850836
392	0.2314118924
393	0.2312831151
394	0.2309430041
395	0.2307448427
396	0.2305648602
397	0.2304878127
398	0.2302387382
399	0.2297830465
